Title,Company,Location,Remote,SeniorityLevel,EmploymentType,Industries,DatePosted,NumApplicants,JobFunction1,JobFunction2,JobFunction3,Description,Url,JobID,ShortDescription,TechStack,YoE,MinLevelStudies,English,OpenAIModel,OpenAIResponseId,OpenAIRawPayload,MinYoE
Vision Data Intelligence Specialist (Worldwide),Toloka Annotators,"Guadalajara, Jalisco, Mexico",REMOTE,,Part-time,IT Services and IT Consulting,2026-05-11T13:27:16.774171,25,Other,,,"The Toloka Annotators connects individuals with Generative AI projects from leading tech innovators. Our mission is to unlock the full potential of AI by involving real people from around the world in the development process. About The Role Do you wash dishes every day? Vacuum the rug? Walk the dog? Fold laundry? What if you could get paid just for recording it? We are looking for people to help train the next generation of AI by capturing high-quality, ""point-of-view"" video of everyday household tasks. Responsibilities Data Collection: Record hands-on, manipulation-intensive tasks across a diverse set of residential environments Residential Tasks: Accurately record common household activities such as room tidy-up, end-to-end dishes cleanup, end-to-end laundry, and home mapping Adherence to Specifications: Follow strict guidelines for data capture, including dedicating full attention to the task and ensuring geographic and task diversity in recordings Requirements Equipment: Own or use a smartphone or alternative camera device capable of 30 FPS or greater and 1080p resolution or greater Capture Method: Mount the device at forehead or eye-level for an egocentric perspective, maintaining a downward angle to maximize hand visibility Software: Utilize the designated ""D&A"" application for all data capture and upload Quality Control: Ensure all video footage is clear, stable, well-lit, at least 15 seconds long, and accurately depicts useful, intentional tasks without unnecessary pauses or contrived movements Benefits Why this freelance opportunity might be a great fit for you? Earn while you do your household chores: Up to $5 per hour equivalent depending on the project This is project-based freelance work. Pick up tasks when they fit your schedule Influence the future of how AI communicates and understands our world",https://mx.linkedin.com/jobs/view/vision-data-intelligence-specialist-worldwide-at-toloka-annotators-4412559874,4412559874,,,,,,,,,
"Data Engineer, Azure - Remote, Latin America",Bluelight,"Guadalajara, Jalisco, Mexico",REMOTE,,Full-time,Software Development,2026-05-11T13:27:16.774178,25,Information Technology,,,"Bluelight is a leading software consultancy dedicated to designing and developing innovative technology that enhances users' lives. With a steadfast commitment to delivering exceptional service to our clients, Bluelight excels in its focus on quality and customer satisfaction. Our mission is not only to create cutting-edge applications but also to foster a collaborative and enriching work environment where each team member can grow and thrive. With a presence across the United States and Central/South America, Bluelight is in an exciting phase of expansion, continually seeking exceptional talent to join its dynamic and diverse community. We are looking for a skilled individual to join our rapidly growing team at Bluelight. This position is ideal for someone who thrives in a fast-paced, dynamic environment where everyone's opinions and efforts are valued and appreciated. You will have the opportunity to contribute to challenging and meaningful projects, developing high-quality applications that stand out in the market. We value continuous learning, personal growth, and hard work, offering a collaborative environment that promotes professional development. If you are passionate about software development and eager to be part of a growing software consultancy, we invite you to apply and join us on this exciting journey. Key Responsibilities ETL Data Engineering: Develop and maintain ETL data engineering processes using Python (PySpark) within Azure Synapse Analytics Notebooks, and/or Azure Synapse Analytics Pipelines, to ensure efficient data extractions, transformation, and loading. Data Warehousing: Apply your expertise in data warehousing, understanding star schemas, facts, and dimensions, to design and build effective data storage structures in a Massively Parallel Processing (MPP) SWL Pool. Data Source Expertise: Extract data from various sources, including REST APIs, SWL database tables, and CSV files. Azure Synapse Analytics Expertise: Utilize your deep knowledge of Azure Synapse Analytics to design and optimize data notebooks/pipelines for scalability and performance. Data Fabric Concepts: Contribute to the implementation and understanding of other Data Fabric concepts, such as data lakes, lakehouses, delta lakes, and data cataloging, to enhance data management capabilities. Data Modeling: Collaborate with data architects to create data models and schemas that align with business requirements. Data Quality: Implement data quality checks and validation processes to maintain data accuracy and consistency. Performance Tuning: Identify and resolve performance bottlenecks and optimize ETL data notebooks/pipelines to meet SLAs. Monitoring and Troubleshooting: Monitoring ETL jobs, diagnose issues, and implement solutions to ensure data pipeline reliability. Documentation: Maintain comprehensive documentation of ETL data engineering processes, data flows, and data transformations. Collaboration: Work closely with cross-functional teams to understand data requirements and provide support for data-related initiatives. Security and Compliance: Ensure data security and compliance with data governance and privacy standards. Required Skills & Qualifications Bachelor’s degree in Computer Science, Information Technology, or a related field; or equivalent work experience, with certifications related to data engineering or data science (e.g. Azure Data Engineer) being a plus. Proven experience in ETL data engineering with significant expertise in using Python (PySpark) to perform data extraction, transformation, and loading from REST APIs, SQL database tables, and CSV files. Proficiency in using Azure Synapse Analytics resources including Notebooks, Pipelines, Linked Services, and Azure Key Vault. Demonstrated ability to write complex SQL queries, optimize query performance, and work with both SparkSQL and MS SQL to effectively extract, transform, and load data. Knowledge of data integration best practices and tools. Experience with version control systems, such as Git (Azure DevOps). Strong problem-solving and analytical skills, with a keen attention to detail. Excellent communication skills, both verbal and written, with the ability to work collaboratively in a team environment with shifting priorities. Familiarity with big data technologies, machine learning, and data analysis preferred. Experience with data visualization tools (e.g. Power BI, Tableau) and Agile Methodologies a plus. Company Benefits Competitive salary and bonuses, including performance-based salary increases. Generous paid-time-off policy Flexible working hours Work remotely Continuing education, training, conferences Company-sponsored coursework, exams, and certifications Being a consultant in our team is a fun, challenging, and rewarding career choice. Your contributions are highly valued by clients, and the work you do often has a direct and significant impact on their business. You will have the opportunity to work on a variety of projects for our incredible clients, which will accelerate your career growth. You’ll collaborate with modern technologies and work alongside some of the best professionals in the industry! If you’re eager to be part of an exciting, challenging, and rapidly growing consultancy, we encourage you to apply.",https://mx.linkedin.com/jobs/view/data-engineer-azure-remote-latin-america-at-bluelight-4412608570,4412608570,,,,,,,,,
"Data Engineer, Azure - Remote, Latin America",Bluelight,"Zapopan, Jalisco, Mexico",REMOTE,,Full-time,Software Development,2026-05-11T13:27:16.774180,25,Information Technology,,,"Bluelight is a leading software consultancy dedicated to designing and developing innovative technology that enhances users' lives. With a steadfast commitment to delivering exceptional service to our clients, Bluelight excels in its focus on quality and customer satisfaction. Our mission is not only to create cutting-edge applications but also to foster a collaborative and enriching work environment where each team member can grow and thrive. With a presence across the United States and Central/South America, Bluelight is in an exciting phase of expansion, continually seeking exceptional talent to join its dynamic and diverse community. We are looking for a skilled individual to join our rapidly growing team at Bluelight. This position is ideal for someone who thrives in a fast-paced, dynamic environment where everyone's opinions and efforts are valued and appreciated. You will have the opportunity to contribute to challenging and meaningful projects, developing high-quality applications that stand out in the market. We value continuous learning, personal growth, and hard work, offering a collaborative environment that promotes professional development. If you are passionate about software development and eager to be part of a growing software consultancy, we invite you to apply and join us on this exciting journey. Key Responsibilities ETL Data Engineering: Develop and maintain ETL data engineering processes using Python (PySpark) within Azure Synapse Analytics Notebooks, and/or Azure Synapse Analytics Pipelines, to ensure efficient data extractions, transformation, and loading. Data Warehousing: Apply your expertise in data warehousing, understanding star schemas, facts, and dimensions, to design and build effective data storage structures in a Massively Parallel Processing (MPP) SWL Pool. Data Source Expertise: Extract data from various sources, including REST APIs, SWL database tables, and CSV files. Azure Synapse Analytics Expertise: Utilize your deep knowledge of Azure Synapse Analytics to design and optimize data notebooks/pipelines for scalability and performance. Data Fabric Concepts: Contribute to the implementation and understanding of other Data Fabric concepts, such as data lakes, lakehouses, delta lakes, and data cataloging, to enhance data management capabilities. Data Modeling: Collaborate with data architects to create data models and schemas that align with business requirements. Data Quality: Implement data quality checks and validation processes to maintain data accuracy and consistency. Performance Tuning: Identify and resolve performance bottlenecks and optimize ETL data notebooks/pipelines to meet SLAs. Monitoring and Troubleshooting: Monitoring ETL jobs, diagnose issues, and implement solutions to ensure data pipeline reliability. Documentation: Maintain comprehensive documentation of ETL data engineering processes, data flows, and data transformations. Collaboration: Work closely with cross-functional teams to understand data requirements and provide support for data-related initiatives. Security and Compliance: Ensure data security and compliance with data governance and privacy standards. Required Skills & Qualifications Bachelor’s degree in Computer Science, Information Technology, or a related field; or equivalent work experience, with certifications related to data engineering or data science (e.g. Azure Data Engineer) being a plus. Proven experience in ETL data engineering with significant expertise in using Python (PySpark) to perform data extraction, transformation, and loading from REST APIs, SQL database tables, and CSV files. Proficiency in using Azure Synapse Analytics resources including Notebooks, Pipelines, Linked Services, and Azure Key Vault. Demonstrated ability to write complex SQL queries, optimize query performance, and work with both SparkSQL and MS SQL to effectively extract, transform, and load data. Knowledge of data integration best practices and tools. Experience with version control systems, such as Git (Azure DevOps). Strong problem-solving and analytical skills, with a keen attention to detail. Excellent communication skills, both verbal and written, with the ability to work collaboratively in a team environment with shifting priorities. Familiarity with big data technologies, machine learning, and data analysis preferred. Experience with data visualization tools (e.g. Power BI, Tableau) and Agile Methodologies a plus. Company Benefits Competitive salary and bonuses, including performance-based salary increases. Generous paid-time-off policy Flexible working hours Work remotely Continuing education, training, conferences Company-sponsored coursework, exams, and certifications Being a consultant in our team is a fun, challenging, and rewarding career choice. Your contributions are highly valued by clients, and the work you do often has a direct and significant impact on their business. You will have the opportunity to work on a variety of projects for our incredible clients, which will accelerate your career growth. You’ll collaborate with modern technologies and work alongside some of the best professionals in the industry! If you’re eager to be part of an exciting, challenging, and rapidly growing consultancy, we encourage you to apply.",https://mx.linkedin.com/jobs/view/data-engineer-azure-remote-latin-america-at-bluelight-4412609564,4412609564,,,,,,,,,
Data Science Lead,Blend,"Guadalajara, Mexico Metropolitan Area",HYBRID,Mid-Senior level,Full-time,Professional Services,2026-05-11T13:27:18.141845,25,Marketing,,,"Company Description Blend is a premier AI services provider, committed to co-creating meaningful impact for its clients through the power of data science, AI, technology, and people. With a mission to fuel bold visions, Blend tackles significant challenges by seamlessly aligning human expertise with artificial intelligence. The company is dedicated to unlocking value and fostering innovation for its clients by harnessing world-class people and data-driven strategy. We believe that the power of people and AI can have a meaningful impact on your world, creating more fulfilling work and projects for our people and clients. For more information, visit www.blend360.com We are seeking a Lead Data Scientist to help build and scale advanced Machine Learning solutions. This role is ideal for a strong Data Scientist with solid coding capabilities, hands-on ML experience, and exposure to MLOps practices. The selected candidate will play a key role in designing, developing, and deploying ML models while collaborating with cross-functional teams and contributing to technical leadership initiatives. Job Description Design, develop, and deploy Machine Learning models to solve business problems. Write production-level code to support scalable ML solutions. Collaborate with data engineers and software engineers to integrate ML models into production environments. Contribute to the implementation of MLOps best practices for model monitoring, versioning, and deployment. Work with cloud platforms (AWS, GCP, or similar) to build and maintain ML infrastructure. Partner with stakeholders to translate business needs into data-driven solutions. Provide technical guidance and mentorship to junior team members. Communicate technical findings and recommendations clearly to both technical and non-technical audiences. Qualifications Strong knowledge of Machine Learning algorithms and modeling techniques. Solid programming skills (Python or similar language). Experience working with cloud platforms such as Azure, AWS or GCP. Exposure to MLOps practices and model deployment processes. Experience working with data pipelines and ML lifecycle management. Strong analytical and problem-solving skills. Excellent communication skills and ability to work collaboratively in cross-functional teams. Positive, proactive, and curious mindset. Additional Information Our Perks and Benefits: 📚 Learning Opportunities Certifications in AWS (we are AWS Partners), Databricks, and Snowflake. Access to AI learning paths to stay up to date with the latest technologies. Study plans, courses, and additional certifications tailored to your role. Access to Udemy Business, offering thousands of courses to boost your technical and soft skills. English lessons to support your professional communication. 🛫 Travel opportunities to attend industry conferences and meet clients. 👩‍🏫 Mentoring And Development Career development plans and mentorship programs to help shape your path. 🎁 Celebrations & Support Special day rewards to celebrate birthdays, work anniversaries, and other personal milestones. Company-provided equipment. ⚖️ Flexible working options to help you strike the right balance. Other benefits may vary according to your location in LATAM. For detailed information regarding the benefits applicable to your specific location, please consult with one of our recruiters.",https://mx.linkedin.com/jobs/view/data-science-lead-at-blend-4409139221,4409139221,,,,,,,,,
Entry Level Software Engineer,Revature,"Zapopan, Jalisco, Mexico",ON-SITE,Entry level,Full-time,IT Services and IT Consulting and Engineering Services,,25,Engineering,Information Technology,,"About the Role Revature is hiring Entry-Level Software Engineers with a focus on Test Automation to join our paid training and deployment program. This opportunity is ideal for individuals looking to start a career in software engineering by gaining hands-on experience in full-stack development, automated testing, cloud, and DevOps technologies. No prior professional experience is required—just strong fundamentals, analytical thinking, and a passion for learning. About Revature Revature is one of the largest and fastest-growing employers of emerging technology talent. We partner with Fortune 500 companies, global system integrators, and government organizations to develop engineers with highly sought-after technical and professional skills. Entry-Level Software Engineer Program: • Full time paid training • Willing to learn, open to relocate & work on-site in Guadalajara • Curriculum developed in partnership with our corporate clients ensure that you are focused on only the most in-demand programming skills • Real world projects enhance your skills and prepare you for placement with one of our corporate partners • Employee engagement team members are assigned to support you during your program • Access to an expansive network of like-minded peers who can show you the Revature ropes, and ensure you'll rock your new tech career Who We’re Looking For • Bachelor’s degree in computer science or related • Legally authorized to work in Mexico without the need for current or future sponsorship • Strong interest in full-stack development, and test automation • Strong problem-solving and communication skills • Willingness to learn, adapt, and work in a client-facing role Equal Opportunity Employer Revature (“Company”) is an equal opportunity employer. We will extend equal opportunity to all individuals without regard to race, religion, color, sex, pregnancy, childbirth or related medical conditions, sexual orientation, gender identity, national origin, disability, age, genetic information, marital status, veteran status, or any other status protected under applicable federal, state, or local laws. This policy applies to all terms and conditions of employment, including but not limited to, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, benefits, compensation, and training. If you require accommodation to work, based on any of these protected factors, please notify the Human Resources Department, and the Company will evaluate the request and provide accommodation in accordance with applicable law. We seek to comply with all applicable federal, state, and local laws related to discrimination and will not tolerate interference with the ability of any of the Company's employees to perform their job duties. Our policy reflects and affirms the Company's commitment to the principles of fair employment and the elimination of all discriminatory practices. Note: Work authorization in the country you are applying to is required. Revature does not sponsor work visas.",https://mx.linkedin.com/jobs/view/entry-level-software-engineer-at-revature-4413042037,4413042037,,,,,,,,,
Expert Observability Engineer,Finastra,"Guadalajara, Jalisco, Mexico",ON-SITE,,Full-time,Financial Services,2026-05-11T13:27:28.586294,55,Engineering,Information Technology,,"Who are we? At Finastra, we’re a global leader in financial services software, dedicated to expanding access to financial services and shaping what’s next for the industry. Our technology powers mission‑critical solutions across Lending, Payments and Universal Banking, supporting over 7,000 customers, including 80% of the world’s top 50 banks, in more than 110 countries. About The Role We are seeking a highly skilled and experienced Observability Engineer to lead and evolve our monitoring and observability capabilities across complex, hybrid environments. This role requires deep technical expertise in tools like Grafana, Site24x7, Azure Monitor, and a strong understanding of Azure Cloud, Windows, and Linux operating systems. The ideal candidate will also bring leadership experience, guiding teams in implementing scalable observability strategies that drive performance, reliability, and resilience. Key Responsibilities Design and implement observability solutions using Grafana, Site24x7, Azure Monitor, and other relevant tools. Develop and maintain dashboards, alerts, and metrics to monitor infrastructure, applications, and services across cloud and on-prem environments. Collaborate with cross-functional teams to define SLIs/SLOs and improve system reliability and performance. Lead initiatives to enhance telemetry, logging, and tracing across distributed systems. Provide technical leadership and mentorship to junior engineers and cross-functional teams. Troubleshoot and resolve complex issues in real-time, leveraging deep knowledge of OS internals (Windows/Linux) and cloud infrastructure. Drive adoption of best practices in monitoring, incident response, and post-mortem analysis. Stay current with industry trends and emerging technologies in observability and resilience engineering. Required Qualifications Proficiency in observability, monitoring, or site reliability engineering. Expert-level proficiency in Grafana (including custom dashboards, integrations, and alerting). Hands-on experience with Site24x7, Azure Monitor, and other observability platforms. Strong understanding of Azure Cloud architecture, services, and deployment models. Deep technical knowledge of Windows and Linux operating systems, including performance tuning and diagnostics. Experience with scripting and automation (e.g., PowerShell, Bash, Python). Familiarity with containerized environments (Docker, Kubernetes) is a plus. Excellent communication and team leadership skills, with a track record of mentoring and guiding technical teams. Preferred Qualifications Certifications in Azure or related technologies. Experience with OpenTelemetry, Prometheus, ELK stack, or similar tools. Background in resilience engineering or incident management frameworks. Benefits We are proud to offer a range of incentives to our employees worldwide. These benefits are available to everyone, regardless of grade, and reflect the values we uphold: Flexibility: Enjoy unlimited vacation, based on your location and business priorities. Hybrid working arrangements, and inclusive policies such as paid time off for voting, bereavement, and sick leave. Well-being: Access Confidential one-on-one therapy through our Employee Assistance Program, find support from our network of Wellbeing Champions and Gather Groups, and a calendar of monthly events and initiatives designed to help you thrive - Inside and Outside of work. Medical, life & disability insurance, retirement plan, lifestyle and other benefits* Sustainability: Benefit from paid time off for volunteering and donation matching. DEI: Participate in multiple DE&I groups for open involvement (e.g., Count Me In, Culture@Finastra, Proud@Finastra, Disabilities@Finastra, Women@Finastra). Career Development: Access online learning and accredited courses through our Skills & Career Navigator tool. Recognition: Be part of our global recognition program, Finastra Celebrates, and contribute to regular employee surveys to help shape Finastra and foster a culture where everyone is engaged and empowered to perform at their best. Specific benefits may vary by location. At Finastra, each individual is unique, bringing their own ideas, thoughts, cultural beliefs, backgrounds, and experiences together. We learn from one another, embrace and celebrate our differences, and create an environment where everyone feels safe to be themselves. Be unique, be exceptional, and help us make a difference at Finastra!",https://mx.linkedin.com/jobs/view/expert-observability-engineer-at-finastra-4336923044,4336923044,,,,,,,,,
QA Automation/Functional - Senior Associate - N/A,PwC México,"Guadalajara, Jalisco, Mexico",ON-SITE,,Full-time,Business Consulting and Services,2026-05-11T13:27:28.586312,25,Quality Assurance,,,"At PwC, our people in software and product innovation focus on developing cutting-edge software solutions and driving product innovation to meet the evolving needs of clients. These individuals combine technical experience with creative thinking to deliver innovative software products and solutions. In quality engineering at PwC, you will focus on implementing leading practice standards of quality in software development and testing processes. In this field, you will use your experience to identify and resolve defects, optimise performance, and enhance user experience. Focused on relationships, you are building meaningful client connections, and learning how to manage and inspire others. Navigating increasingly complex situations, you are growing your personal brand, deepening technical expertise and awareness of your strengths. You are expected to anticipate the needs of your teams and clients, and to deliver quality. Embracing increased ambiguity, you are comfortable when the path forward isn’t clear, you ask questions, and you use these moments as opportunities to grow. Skills Examples of the skills, knowledge, and experiences you need to lead and deliver value at this level include but are not limited to: Respond effectively to the diverse perspectives, needs, and feelings of others. Use a broad range of tools, methodologies and techniques to generate new ideas and solve problems. Use critical thinking to break down complex concepts. Understand the broader objectives of your project or role and how your work fits into the overall strategy. Develop a deeper understanding of the business context and how it is changing. Use reflection to develop self awareness, enhance strengths and address development areas. Interpret data to inform insights and recommendations. Uphold and reinforce professional and technical standards (e.g. refer to specific PwC tax and audit guidance), the Firm's code of conduct, and independence requirements. Qualifications Bachelor's or Master's degree in computer science, Software Engineering, or a related field. Extensive experience in software testing and automation, with a focus on functional and API testing. Strong understanding of E2E multitiered web applications architecture. Proficiency in automation tools such as Playwright/Selenium, RestAssured, Postman, or similar. Strong programming skills in languages like Java, Python, or JavaScript. Experience with CI/CD tools and processes (e.g., Jenkins, GitLab, Azure DevOps). Excellent problem-solving skills and attention to detail. Strong communication and interpersonal skills, with the ability to work effectively in a team-oriented environment. Experience in performance and security testing. Familiarity with BDD/TDD practices and tools (e.g., Cucumber, SpecFlow). Knowledge of cloud environments and microservices architecture.",https://mx.linkedin.com/jobs/view/qa-automation-functional-senior-associate-n-a-at-pwc-m%C3%A9xico-4412668763,4412668763,,,,,,,,,
Data Quality Engineer,Blend,"Guadalajara, Mexico Metropolitan Area",ON-SITE,Mid-Senior level,Full-time,Professional Services,2026-05-11T13:27:28.586314,25,Marketing,,,"Company Description Blend is a premier AI services provider, committed to co-creating meaningful impact for its clients through the power of data science, AI, technology, and people. With a mission to fuel bold visions, Blend tackles significant challenges by seamlessly aligning human expertise with artificial intelligence. The company is dedicated to unlocking value and fostering innovation for its clients by harnessing world-class people and data-driven strategy. We believe that the power of people and AI can have a meaningful impact on your world, creating more fulfilling work and projects for our people and clients. For more information, visit www.blend360.com We are seeking a Data Quality Engineer to contribute to our next level of growth and expansion. Job Description What is this position about? We are looking for a Data Quality Engineer with strong experience in Azure and Databricks to ensure data quality, reliability, and consistency across modern data platforms. This role focuses on validating data pipelines, implementing automated quality checks, and collaborating closely with Data Engineering and business teams to guarantee accurate and production-ready data assets. Design and implement a data quality framework across Bronze, Silver, and Gold layers — defining validation rules, threshold tolerances, and alerting standards Build and maintain automated data quality checks within Databricks pipelines — row counts, null checks, referential integrity, schema validation, and business rule assertions Own reconciliation between source systems and Databricks layers — ensuring source data lands accurately and transformations produce expected outputs Validate identity resolution outputs in the Silver layer — reviewing match rates, investigating false positives and false negatives, and ensuring enterprise identifiers are being assigned correctly across source populations Perform end-to-end pipeline testing — validating that data flows correctly from ingestion through to the Gold layer and that downstream reporting outputs reflect accurate data Partner with Data Engineers to define acceptance criteria for each sprint’s pipeline and data model deliverables before they are promoted to production Support UAT with client business stakeholders — helping them validate that Gold layer outputs meet their reporting requirements Document all QA processes, test results, and data quality findings in a format that can be handed off to the client team at engagement close Monitor pipeline health post-deployment — investigating and triaging data quality incidents and working with engineers to resolve root causes quickly Qualifications Experience working with Azure-based data platforms, including Databricks. Strong understanding of data quality frameworks and testing methodologies for data pipelines. Experience validating ETL/ELT processes and working with layered architectures (Bronze, Silver, Gold). Strong SQL skills and experience analyzing large datasets. Experience implementing automated data validation and reconciliation processes. Familiarity with data pipeline monitoring, alerting, and troubleshooting. Ability to collaborate with Data Engineers and business stakeholders. Strong analytical thinking and attention to detail. Experience documenting QA processes and results in a structured manner. What about languages? English: Advanced (required for effective communication with global teams). How much experience must I have? 3+ years of experience in Data Engineering or Data Quality roles. Additional Information Our Perks and Benefits: 📚Learning Opportunities Certifications in AWS (we are AWS Partners), Databricks, and Snowflake. Access to AI learning paths to stay up to date with the latest technologies. Study plans, courses, and additional certifications tailored to your role. Access to Udemy Business, offering thousands of courses to boost your technical and soft skills. English lessons to support your professional communication. 👨🏽‍💻Travel opportunities to attend industry conferences and meet clients. 👩‍🏫 Mentoring And Development Career development plans and mentorship programs to help shape your path. 🎁 Celebrations & Support Special day rewards to celebrate birthdays, work anniversaries, and other personal milestones. Company-provided equipment. ⚖️ Flexible working options to help you strike the right balance. Other benefits may vary according to your location in LATAM. For detailed information regarding the benefits applicable to your specific location, please consult with one of our recruiters. So what are the next steps? Our team is eager to learn about you! Send us your resume or LinkedIn profile below and we’ll explore working together!",https://mx.linkedin.com/jobs/view/data-quality-engineer-at-blend-4409053889,4409053889,,,,,,,,,
Desarrollador de ServiceNow,Driscoll's,"Zapopan, Jalisco, Mexico",ON-SITE,,Full-time,Food and Beverage Services,2026-05-11T13:27:28.586316,32,Engineering,Information Technology,,"Location: Mexico-Guadalajara Job Family IT Time Type Full time Job Requisition ID R0008206 Employee Type Regular Remote Type Onsite About The Opportunity We are seeking a highly skilled and experienced Senior ServiceNow Developer to lead the development, and continuous improvement of our ServiceNow platform. This role is pivotal in driving the strategic implementation of ServiceNow modules, integrations, and upgrades across the organization. As a member of the IS team, you will collaborate with cross-functional stakeholders to design and deliver scalable solutions, oversee a team of analysts and developers, and ensure the platform aligns with evolving business needs. You will also be responsible for maintaining platform integrity, optimizing performance, and identifying opportunities for automation and innovation. Responsibilities Lead technical design sessions and develop solution documentation for assigned ServiceNow applications. Configure and enhance core and custom applications, workflows, and integrations. Identify opportunities for improvement, such as automation, AI solutions or integrations. Manage platform upgrades, including impact assessments and remediation planning. Perform day-to-day administration and assess and resolve production support issues. Provide guidance and mentorship to ServiceNow support team members on an ongoing basis. Support and develop modules including ITSM (Incident, Request, Problem, Asset, CMDB, Knowledge), ITBM (Idea, Demand, Project, Resource, Finance), ITAM and ITOM. Create and manage Business Rules, UI Policies, Client Scripts, Notifications, UI Pages, Macros, APIs and ACLs. Follow best practices for release management, source control, and development lifecycle. Candidate Profile Bachelor’s degree in computer science or equivalent 5+ years ITSM (Incident, Request, Problem, Asset, CMDB, Knowledge), ITBM (Idea, Demand, Project, Resource, Finance), ITAM and ITOM. Strong experience with JavaScript, XML, HTML, REST/SOAP APIs, and SaaS environments. Expertise in workflow design, form customization, and scripting within ServiceNow. Experience with SDLC, Agile methodologies, Security and DevOps practices. Familiarity with tools like VSTS/Azure DevOps for version control and CI/CD. Proficiency English is required Relocation Support: We may offer relocation support for this role depending on the candidate’s location and overall profile. Details will be discussed during the process. About Driscolls Driscoll's is the global market leader for fresh strawberries, blueberries, raspberries and blackberries. With more than 100 years of farming heritage and hundreds of independent growers around the world, Driscoll's is passionate about growing fresh, beautiful and delicious berries. Our values of humility, passion and trustworthiness have guided our mission to delight consumers around the world. Driscoll's exclusive patented berry varieties are developed through years of research using only natural breeding methods – meaning, no GMOs. From farm-to-table, we focus on delivering a high quality, premium berry experience with our many supply chain partners. Driscoll's is the trusted brand for Only the Finest Berries™. Driscoll's es el proveedor líder en la comercialización de Fresas, Frambuesas, Zarzamoras y Arándanos Azules en el mundo. Con más de 100 años de herencia en agricultura y cientos de productores independiente alrededor del mundo, Driscoll's es una compañía apasionada por cultivar Berries frescas, hermosas y deliciosas. Nuestros valores de humildad, pasión y confianza han guiado nuestra misión de deleitar a los consumidores en el mundo. Las variedades exclusivas de Driscoll's han sido desarrolladas a través de años de investigación usando sólo métodos de mejoramiento natural. De la granja a la mesa, nos enfocamos en ofrecer una experiencia de alta calidad con apoyo de nuestros socios de la cadena de suministro. Driscoll's es la marca de confianza de sólo las mejores Berries. Apply NowReturn to Job List",https://mx.linkedin.com/jobs/view/desarrollador-de-servicenow-at-driscoll-s-4343893031,4343893031,,,,,,,,,
Staff Engineer - Azure CloudOps Expert,Nagarro,"Guadalajara, Jalisco, Mexico",ON-SITE,,Full-time,IT Services and IT Consulting,2026-05-11T13:27:28.586319,25,Engineering,,,"Company Description We are a Digital Product Engineering company that is scaling in a big way! We build products, services, and experiences that inspire, excite, and delight. We work at scale — across all devices and digital mediums, and our people exist everywhere in the world (18000+ experts across 36 countries, to be exact). Our work culture is dynamic and non-hierarchical. We are looking for great new colleagues. That is where you come in! Job Description Key Responsibilities Provision and manage Azure infrastructure using Infrastructure as Code (Bicep/Terraform/ARM). Configure and troubleshoot Azure networking components (VNets, route tables, Virtual WAN, Application Gateway). Implement centralized monitoring, diagnostics, and troubleshooting to ensure high availability. Design and optimize CI/CD pipelines with Azure DevOps and other automation tools. Apply and enforce Azure Policies, RBAC, and security best practices across subscriptions. Maintain clear, actionable documentation for architecture, processes, and troubleshooting. Collaborate on process improvements, automation initiatives, and DevSecOps adoption. Required Skills & Experience Strong hands-on expertise with Azure cloud services and management tools. Proven experience with hub-and-spoke architectures in enterprise environments. Proficiency in scripting (PowerShell, Bash, Python) and Infrastructure as Code (Bicep, Terraform, ARM). Solid understanding of cloud architecture principles: scalability, high availability, and security. Experience designing and managing CI/CD pipelines with Azure DevOps or similar platforms. Knowledge of networking, security layers, and communication protocols. Familiarity with Agile methodologies (Scrum/SAFe) and collaboration tools (Jira, Confluence). Qualifications Must have Skills: Azure IaaS, Azure Network Engineer, Routing and traffic management.",https://mx.linkedin.com/jobs/view/staff-engineer-azure-cloudops-expert-at-nagarro-4412583266,4412583266,,,,,,,,,
