Title,Company,Location,Remote,SeniorityLevel,EmploymentType,Industries,DatePosted,NumApplicants,JobFunction1,JobFunction2,JobFunction3,Description,Url,JobID,ShortDescription,TechStack,YoE,MinLevelStudies,English,OpenAIModel,OpenAIResponseId,OpenAIRawPayload,MinYoE
Data Scientist,Trivelta,"Monterrey, Nuevo León, Mexico",REMOTE,,Full-time,Software Development,2026-06-26T13:13:48.718883,25,Engineering,Information Technology,,"About The Role On Trivelta, we build the technology that powers modern, social-first gaming experiences. Through our proprietary sportsbook and casino engine, we enable partners to launch fully branded, legally compliant gaming products combining real social interactions, predictive gameplay, and casino entertainment in one unified experience. Headquartered in Boston with operations in Monterrey, Barcelona, and Atlanta, we’re scaling rapidly and building a global team passionate about redefining how people play, socialize, and connect. We’re seeking a highly autonomous and full-stack Data Scientist to join our team in Monterrey, MX. In this role, you will own the entire data lifecycle—from wrangling raw, untouched datasets to deploying live predictive models. You will be instrumental in taking unexplored areas of our business (such as bonus and promotional data), establishing the reporting baseline, conducting deep exploratory analytics, and ultimately building the live models that drive our operational efficiency and product success. What You’ll Do Own End-to-End Data Projects: Lead complex initiatives starting from raw, unmeasured data sources (e.g., bonus systems). Write robust, efficient SQL to extract, clean, and structure this data for advanced analysis. Establish Baseline Metrics: Design and deploy interactive dashboards using modern BI tools to visualize newly onboarded data, tracking key performance indicators and sharing insights with stakeholders. Deep Data Analytics: Conduct rigorous exploratory data analysis (EDA) using tools like Jupyter Notebooks and Python to uncover hidden patterns, user behaviors, and actionable insights from our datasets. Build and Deploy Live Models: Translate analytical insights into actionable machine learning solutions. Develop, train, and deploy predictive models to production (live models) to directly increase business efficiency and optimize our gaming experience. Monitor and Iterate: Oversee the performance of live models in production, ensuring their accuracy, reliability, and continuous improvement over time. Cross-Functional Collaboration: Partner closely with data analysts, engineers, and business leaders to align modeling objectives with overarching company goals. What You Bring Must-have Bachelor’s or Master’s degree in a highly quantitative field (Computer Science, Statistics, Mathematics, Data Science, etc.). 3–5+ years of experience in a Data Scientist role with a proven track record of owning projects from data extraction to model deployment. Strong programming skills in Python and extensive experience conducting analysis within Jupyter Notebooks (using libraries like pandas, NumPy, scikit-learn). Advanced, hands-on SQL skills for complex data cleaning, transformation, and extraction. Proven experience developing and maintaining live models in a production environment. Experience building functional reports and dashboards in BI tools (Power BI, Tableau, Looker, etc.) to communicate findings. Advanced English and strong communication skills, with the ability to explain complex data science concepts to non-technical stakeholders. Nice-to-have Experience working within cloud-based infrastructure, preferably AWS (SageMaker, S3, Redshift, Athena). Familiarity with data engineering concepts or building basic ETL pipelines. Prior experience in the gaming, sports betting, or casino industry. Experience applying advanced ML techniques (e.g., deep learning, reinforcement learning) or graph/network analysis.",https://mx.linkedin.com/jobs/view/data-scientist-at-trivelta-4414792007,4414792007,,,,,,,,,
Applications Engineer Senior,Acuity,"Guadalupe, Nuevo León, Mexico",REMOTE,,Full-time,"Appliances, Electrical, and Electronics Manufacturing",2026-06-26T13:13:48.718892,25,Engineering,,,"QSC is creating exceptional, people-centric experiences with the perfect balance of technology and creativity. Q-SYS, our innovative full stack audio, video and control platform, unifies data, devices and a cloud-first architecture, empowering organizations to deliver transformative AV experiences across built spaces. Building on the QSC legacy, QSC Audio delivers audio technology that empowers live entertainers and sound reinforcement professionals with the confidence to create and deliver memorable experiences for their audiences. Atrius, Distech Controls and QSC are part of the Acuity Intelligent Spaces (AIS) business segment. Our mission is to make spaces smarter, safer and greener through our strategy of connecting the edge with the cloud using disruptive technologies that leverage data interoperability. Acuity Inc. (NYSE: AYI) is a market-leading industrial technology company. We use technology to solve problems in spaces, light and more things to come. Through our two business segments, Acuity Brands Lighting (ABL) and Acuity Intelligent Spaces (AIS), we design, manufacture, and bring to market products and services that make a valuable difference in people’s lives. We achieve growth through the development of innovative new products and services, including lighting, lighting controls, building management solutions, and an audio, video and control platform. We focus on customer outcomes and drive growth and productivity to increase market share and deliver superior returns. We look to aggressively deploy capital to grow the business and to enter attractive new verticals. Acuity Inc. is based in Atlanta, Georgia, with operations across North America, Europe and Asia. The Company is powered by approximately 13,000 dedicated and talented associates. Visit us at www.acuityinc.com . Work location: This position may be based anywhere in the Mexico and includes travel as part of the responsibilities. Job Summary The “Advanced Application Engineer” will provide the highest level of field support to our regional channel partners, consultants and potential users, providing advanced system design, deployment, programming, 3rd party integration and troubleshooting. The Advanced Applications Engineer will also work closely with Area Manager empowering channels, training and delivering lectures and certifications to ensure the channel partner experience is of a high standard level of support and experience. Key Tasks & Responsibilities (Essential Functions) Work with the Regional Sales team to demonstrate products, design systems, support sales activities, visit channel partners and the sites of AV opportunities. Monitor and report on relevant information from the field as it pertains to market trends, competitive landscape, sales opportunities and channel activities. Collaborate internally with the Americas go-to-market team, product development team and marketing. Focus on taking what you learn from the field and sharing it with to make us a high performing team. Attend regional, national and internal meetings as required. Booth set up and tear down as well as technical troubleshooting will be required. Providing training and certification to regional partners, and monitoring channel progress to ensure everyone is always up to date with Q-SYS capabilities Assist with support calls from dealers needing programming help, troubleshooting systems, and processing RMAs as needed Skills And Minimum Experience Required Bachelor’s Degree in engineering preferred Minimum of 5 years of AV industry experience Must be fluent with audio, video, control and networking technology. Experience with LUA scripting and/or control system programming and integration Ability to use Microsoft Office 365, Salesforce and AV industry software. Experience in configuring and programming DSPs Experience in audio video and control systems Experience with sound coverage prediction software such as EASE and EASE Focus Fluency in Spanish and English is a requirement Must be able to speak in public and participate in industry events, as a speaker or panelist, having good corporate and interpersonal presentation Preferred Skills And Experience AV and IT industry certifications appreciated Experience in AV design and sales engineering is highly desirable CTS AVIXA certification is a plus Travel Requirements 21-40% QSC. is owned by Acuity Inc., which is located in the United States. These companies share a global recruitment system on which the data you provide will be stored, and which will be subject to the laws of the United States of America. The range for this position is $468,500.00 to $843,300.00. Placement within this range may vary, depending on the applicant’s experience and geographic location. We value diversity and are an equal opportunity employer. All qualified applicants will be considered for employment without regards to race, color, age, gender, sexual orientation, gender identity and expression, ethnicity or national origin, disability, pregnancy, religion, covered veteran status, protected genetic information, or any other characteristic protected by law. Please click here and here for more information. Accommodation for Applicants with Disabilities: As an equal opportunity employer, Acuity Inc. is committed to providing reasonable accommodations in its application process for qualified individuals with disabilities and disabled veterans. If you have difficulty using our online system due to a disability and need accommodation, you may contact us at (770) 922-9000, select option 4. Please clearly indicate what type of accommodation you are requesting and for what requisition. Any unsolicited resumes sent to Acuity Inc. from a third party, such as an Agency recruiter, including unsolicited resumes sent to an Acuity Inc. mailing address, fax machine or email address, directly to Acuity Inc. employees, or to Acuity Inc. resume database will be considered Acuity Inc. property. Acuity Inc. will NOT pay a fee for any placement resulting from the receipt of an unsolicited resume. Acuity Inc. will consider any candidate for whom an Agency has submitted an unsolicited resume to have been referred by the Agency free of any charges or fees. This includes any Agency that is an approved/engaged vendor, but does not have the appropriate approvals to be engaged on a search. E-Verify Participation Poster e-verify.gov eeoc.gov",https://mx.linkedin.com/jobs/view/applications-engineer-senior-at-acuity-4430248177,4430248177,,,,,,,,,
Snowflake Data Engineer / ETL Developer,Accenture México,"Monterrey, Nuevo León, Mexico",REMOTE,Mid-Senior level,Full-time,Business Consulting and Services,2026-06-26T13:13:48.718896,25,Information Technology,,,"DARE TO BE A PART OF THE CHALLENGE! COME AND JOIN OUR TEAM TOGETHER WE CAN MAKE THE DIFFERENCE! Did you know that Accenture is leading the digital transformation in the World? Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Our main purpose is to collaborate with our clients, so they can become high-performance businesses. Accenture is present in more than 200 offices, 120 cities, 56 countries and approximately 640,000 employees worldwide. We Offer Career development according to your profile and interests. Work in one of the best companies and feel proud. Access to an innovative methodology and tools. Direct contact with experts worldwide. Use of work schemes and cutting-edge technologies. Constant training. Work environment based on teamwork and collaboration. Participation in International Project. THE WORK: Join us in creating innovative data solutions that empower organizations to harness the full potential of their data! As a Data Engineer , you will work independently, become a subject matter expert, and actively contribute to discussions and solutions for complex data challenges. Your expertise in Snowflake will be key as you participate in exciting projects that drive data transformation. We value your unique contributions and fresh perspectives! Key Responsibilities Design and develop reusable workflows for data ingestion, quality, transformation, and optimization. Build scalable data pipelines using modern tools and frameworks. Deploy data solutions into production environments efficiently and reliably. Migrate data from legacy data warehouses following cloud architecture best practices. Automate data flow processes to improve data consumption and accessibility. Mandatory Skills Snowflake (Platform) – Advanced SQL – Advanced ETL Processes – Intermediate Data Pipeline Development – Intermediate Data Quality Management – Intermediate Nice-to-Have Skills Data Modeling – Intermediate Cloud Data Solutions – Intermediate Performance Optimization – Intermediate Documentation of Data Processes – Beginner Bonus Points Intermediate proficiency in data governance. Advanced proficiency in data quality management. Expert proficiency in cloud architecture. Intermediate proficiency in data pipeline automation. Master proficiency in data transformation techniques. Accenture does not discriminate based on race, religion, color, sex, age, disability, nationality, sexual orientation, gender identity or expression, or for any other reason covered by local law.",https://mx.linkedin.com/jobs/view/snowflake-data-engineer-etl-developer-at-accenture-m%C3%A9xico-4432908298,4432908298,,,,,,,,,
Manual QA Engineer (SaaS),CTC,"Monterrey, Nuevo León, Mexico",HYBRID,Mid-Senior level,Contract,IT Services and IT Consulting,2026-06-26T13:13:50.082539,25,Engineering,,,"We’re looking for a Manual QA Engineer ready to own product quality in a fast‑growing SaaS platform. This role blends QA, customer experience, and AI innovation — ideal for someone curious, analytical, and eager to shape how users interact with technology. What You’ll D oUser‑Centric Q A: Transform feedback from Support and Marketing into actionable test scenarios that elevate product experience .AI‑Assisted Testin g: Apply AI tools to accelerate test case design, exploratory testing, bug triage, and documentation .Core QA Executio n: Review requirements, design and run manual test cases, perform functional/integration/UI/UX testing, and maintain QA documentation .Cross‑Team Collaboratio n: Partner with Product Managers and developers to clarify requirements, flag risks, and support release sign‑off .What We’re Looking Fo rSolid experience in manual QA for SaaS/web platforms .Strong grasp of SDL C and Agile/Scru m practices .Ability to collaborate with Support, Marketing, and Product teams .Hands‑on use of AI tool s (ChatGPT, Copilot) in QA workflows .Proficiency with Jir a for bug tracking and sprint management .Clear communication in English, written and verbal .Analytical mindset with attention to detail and curiosity about user behavior .Nice to Hav eFamiliarity with browser developer tools and basic HTML/CSS/JS debugging .Exposure to automation framework s (Selenium, Playwright, Cypress) .Interest in UX research or customer experience .Why Join U sImpac t: Directly shape product quality and user satisfaction .Innovatio n: Modernize QA with AI‑driven workflows .Growt h: Expand into automation and advanced QA methodologies .Cultur e: Be part of a collaborative, user‑focused team that values initiative and continuous learning .",https://mx.linkedin.com/jobs/view/manual-qa-engineer-saas-at-ctc-4430257259,4430257259,,,,,,,,,
Analista de Datos (BI),Bausch + Lomb,"Monterrey, Nuevo León, Mexico",HYBRID,,Full-time,Pharmaceutical Manufacturing,2026-06-26T13:13:50.082546,25,Information Technology,,,"Bausch + Lomb es una empresa líder global en salud ocular dedicada a proteger y mejorar el don de la visión para millones de personas en todo el mundo, desde el nacimiento y en cada etapa de la vida. Nuestra misión es simple, pero poderosa: ayudarte a ver mejor para vivir mejor. Nuestro amplio portafolio de más de 400 productos está completamente integrado y diseñado para atender a nuestros clientes en todo el espectro de sus necesidades de salud ocular a lo largo de sus vidas. Nuestra marca icónica se basa en la profunda confianza y lealtad de nuestros clientes, construida a lo largo de más de 170 años de historia. Contamos con una importante presencia global en investigación, desarrollo, manufactura y operaciones comerciales, con aproximadamente 13,000 colaboradores y presencia en cerca de 100 países, extendiendo nuestro alcance a miles de millones de clientes potenciales alrededor del mundo. Durante mucho tiempo hemos estado asociados con muchos de los avances más significativos en salud ocular y creemos estar bien posicionados para seguir liderando el avance de la salud ocular en el futuro. Acerca de la posición Buscamos un(a) Analista de Datos (BI) con un fuerte perfil analítico, orientado(a) a la mejora continua y a la toma de decisiones basada en datos. Esta persona será responsable de transformar información en insights accionables, desarrollar reportes y dashboards, automatizar procesos y apoyar a diferentes áreas del negocio en la identificación de oportunidades y mejoras operativas. Objetivo del puesto Analizar, interpretar y transformar datos en información estratégica que permita optimizar procesos, mejorar la eficiencia operativa y apoyar la toma de decisiones del negocio a través de herramientas de análisis y visualización de datos. Responsabilidades Analizar información proveniente de diferentes fuentes para generar reportes e indicadores de desempeño. Identificar tendencias, oportunidades y riesgos mediante el análisis de datos. Elaborar dashboards e informes ejecutivos para el seguimiento de KPIs. Participar en proyectos de automatización y mejora continua de procesos mediante herramientas de Business Intelligence. Apoyar la migración y desarrollo de reportes en Power BI. Garantizar la calidad, integridad y consistencia de la información utilizada para la toma de decisiones. Colaborar con diferentes áreas del negocio para comprender necesidades y proponer soluciones basadas en datos. Generar recomendaciones y conclusiones accionables a partir del análisis realizado. Priorizar requerimientos de negocio y brindar seguimiento oportuno a las solicitudes de información. Requisitos Licenciatura concluida en Ingeniería Industrial, Ingeniería en Sistemas, Actuaría, Matemáticas, Estadística, Economía, Administración o carreras afines. Experiencia previa en análisis de datos, Business Intelligence, reporting o áreas similares. Dominio avanzado de Microsoft Excel: Tablas dinámicas. Fórmulas avanzadas (VLOOKUP, IF y funciones relacionadas). Power Query. Conocimientos de SQL para consulta, extracción y análisis de información. Experiencia en Power BI para el desarrollo de dashboards y visualizaciones. Inglés intermedio, con capacidad para participar en reuniones, interpretar información y comunicarse con equipos internacionales. Capacidad para interpretar datos y generar insights que apoyen la toma de decisiones. Excelente capacidad analítica y orientación a resultados. Disponibilidad de actuar hibrido 3x en la oficina en Ciudad de Mexico Deseable Experiencia con herramientas de visualización de datos como Tableau o QlikView. Experiencia en automatización de reportes y procesos. Conocimientos en mejora continua y optimización de procesos. Competencias Pensamiento analítico. Comunicación asertiva. Capacidad para priorizar actividades y gestionar múltiples solicitudes. Influencia y capacidad para respaldar decisiones mediante datos. Orientación a resultados. Atención al detalle. Proactividad. Trabajo colaborativo. Bausch+Lomb Companies Inc. se compromete a aprovechar el talento de una fuerza laboral diversa para crear grandes oportunidades para nuestro negocio y nuestra gente. Todos los candidatos calificados recibirán consideración para el empleo sin distinción de raza, color, religión, sexo, orientación sexual, identidad de género, país de origen, discapacidad o condición de veterano. Bausch+Lomb solo utilizará los Datos del candidato para fines de reclutamiento, incluida alguna futura notificación de oportunidad de empleo.",https://mx.linkedin.com/jobs/view/analista-de-datos-bi-at-bausch-%2B-lomb-4433545207,4433545207,,,,,,,,,
Analytics Data Engineer I - Monterrey,John Deere,"Garza García, Nuevo León, Mexico",ON-SITE,,Full-time,Machinery Manufacturing,2026-06-26T13:14:07.656415,25,Information Technology,,,"There are 7 billion people on this planet. And by 2050, there will be 2 billion more... many moving into urban centers at an unprecedented rate. Making sure there is enough food, fiber and infrastructure for our rapidly growing world is what we’re all about at John Deere. And it’s why we’re investing in our people and our technology like never before in our more than 185 - year history. Here the world’s brightest minds are tackling the world’s biggest challenges. If you believe one person can make the world a better place, we’ll put you to work. RIGHT NOW. Title: Analytics Data Engineer I - Monterrey Primary Location: Garza Garcia Function: Data and Analytics (CA) John Deere is a foremost leader in the ag equipment business, and we continue to put a solid stamp on other industries. For over 185 years, the company’s portfolio of groundbreaking products has grown to include industries related to and outside of agriculture, including Turf, Construction and Forestry and Wind Technologies. The image of John Deere is no longer that of a signature green tractor meandering across a field; it’s been replaced with an image of acceleration, swift progress, and innovative leaping toward the company’s 200th year. The product line alone serves as proof with advances in machine performance, equipment automation, fleet management, and John Deere’s ongoing investment in emerging markets. Note: All candidates should have their tax situation certificate (Constancia de Siituación Fiscal) up to date with the salary regime to be eligible for the hiring process. Main Responsabilites Design, develop, and maintain interactive Power BI dashboards and reports tailored to business stakeholders. Build and optimize semantic models and reporting layers to ensure consistent KPI definitions and data usability. Develop advanced SQL queries to extract, join, and manipulate large enterprise datasets. Work with enterprise data platforms (e.g., Databricks, Enterprise Data Lake) to process and manage large-scale datasets. Translate business questions (quality, warranty, operations, product performance) into scalable data solutions and datasets. What Skill You Need Power BI development experience, including building, optimizing, and supporting dashboards and semantic/reporting layers for business users. Strong SQL skills for querying, joining, validating, and troubleshooting enterprise data sets, views, and tables. Experience working with enterprise data platforms such as Databricks / EDL and with notebook-based or pipeline-based data processing. Experience translating business questions into usable data products, especially for quality, warranty, product, or operational analytics. Ability to work with shared code, version control, and collaborative environments such as GitHub. Strong documentation habits and ability to hand off work cleanly so teammates can maintain and extend solutions. What Makes You Stand Out Python experience for analytics, data preparation, automation, or model support. Interest in and some hands-on exposure to machine learning, predictive modeling, or AI-enabled workflows. Familiarity with AI-ready data concepts, AI-assisted analytics, or integrating analytics outputs into operational decision-making. Comfort working across dashboarding, data engineering, and business stakeholder support rather than being limited to only one layer of the stack. Education Data Science, Mechatronic Engineer, Actuarial. This position will be posted for a minimum of 10 business days and unposted when a qualified pool of candidates is achieved. Candidates must have the necessary work permits to work in the country.",https://mx.linkedin.com/jobs/view/analytics-data-engineer-i-monterrey-at-john-deere-4432964859,4432964859,,,,,,,,,
(CEN) GLOBAL DATA SCIENCE INTERN,Cemex,"Garza García, Nuevo León, Mexico",ON-SITE,,Internship,Wholesale Building Materials,2026-06-26T13:14:07.656422,67,Engineering,Information Technology,,"Semester(s): 5th – 10th semester Degree(s): ITC, Mathematics, Data Science, Actuarial Science, Industrial Physics, Mechatronics Tentative Start Date (month): November 2025 Project Objective Support the Global Data Science team in the phases of problem exploration and definition of descriptive, predictive, and prescriptive models, as well as in visualization tools and model consumption. Also, provide support in data and model validati Challenges for the Student Understand business needs Generate value through exploratory data analysis Work in a team and be results-oriented Use the technology stack used at CEMEX for data science (Jira, Python, SQL, Databricks, Snowflake) Main Responsibilities and Activities Identify and map data sources and develop queries Process data and conduct exploratory data analysis using visualization dashboards Formulate hypotheses, design experiments, and develop statistical validation tests Perform feature engineering Develop prediction or prescription models using Machine Learning or other Artificial Intelligence techniques Validate and improve models Required Skills, Competencies, And Knowledge Programming in scripting languages such as R or Python (preferably Python) Familiarity with visualization dashboards such as Tableau or PowerBI Desirable knowledge of CSS, HTML, Snowflake Teamwork Storytelling with data (visualizations, statistical hypothesis testing) Problem-solving orientation",https://mx.linkedin.com/jobs/view/cen-global-data-science-intern-at-cemex-4423320357,4423320357,,,,,,,,,
Software Engineer,Carrier,"Monterrey, Nuevo León, Mexico",ON-SITE,,Full-time,Wholesale Building Materials,2026-06-26T13:14:07.656425,25,Engineering,Information Technology,,"About Carrier Carrier Global Corporation, global leader in intelligent climate and energy solutions, is committed to creating innovations that bring comfort, safety and sustainability to life. Through cutting-edge advancementsin climate solutions such astemperature control, air quality and transportation, we improve lives, empower critical industries and ensure the safe transport of food, life-saving medicines and more. Since inventing modern air conditioning in 1902, we lead with purpose: enhancing the lives we live and the world we share. We continue to lead because of our world-class, inclusive workforce that puts the customer at the center of everything we do. For more information, visitcorporate.carrier.com (opens in new window)or follow Carrier on social media at @Carrier. About The Role We are seeking a motivated, results-oriented Software Engineer or Computer Scientist to join a global software development team. The candidate will serve as a software development leader responsible for web-based applications that drive the Carrier equipment and systems sales strategy. This includes ownership of Carrier Electronic Catalog programs that are employed by HVAC sales engineers. Key Responsibilities As a Software Enngineer , you'll be responsible for: Work as part of a software development team to deliver tools to Carrier’s commercial HVAC sales force. Produce clean, efficient code that meets software requirements. Monitor the performance of 1 to 2 software developers and quality assurance specialists contributing the development effort. This includes code reviews and coaching. Maintain, troubleshoot, and debug existing software. Collaborate with a multi-location team to ensure the software performs according to requirements. Contribute to the setup of general guidelines and standards for development of software. Requirements We are looking for people who are proficient with front-end technologies including JavaScript, ReactJS, or AngularJS. If this is you, get in touch. As a Minimum You Must Have Proficient with server-side technologies including C# or Java. Understanding of cloud-based design and architecture. Knowledge of AWS preferred. Experience with Agile development methodology (e.g. Scrum) Familiarity with GitHub and Jenkins preferred. Ability to manage multiple tasks and priorities. Excellent analytical skills. Exemplary verbal and written communication skills (English) Although not necessary, it would be nice if you have: Experience within HVAC, automotive, metal-mechanical, copper fabrication, or assembly manufacturing industries. Benefits We offer a competitive total rewards package that may include other benefits and well‑being programs. Offerings vary by role and location and are designed to support employees’ health, security, and success. If you require a reasonable accommodation to complete the application process, participate in an interview, or otherwise engage in the hiring process, please contact us atCarrier.Recruiting@carrier.com. (opens in new window)We will make every effort to meet your needs in accordance with applicable laws. Carrier is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class. Job Applicant's Privacy Notice Click on this link (opens in new window) to read the Job Applicant's Privacy Notice",https://mx.linkedin.com/jobs/view/software-engineer-at-carrier-4430279135,4430279135,,,,,,,,,
Inteligencia de Negocios Jr,Infinita Consulting,Monterrey Metropolitan Area,ON-SITE,Mid-Senior level,Full-time,Business Consulting and Services,2026-06-26T13:14:07.656428,25,Business Development,Sales,,"Inteligencia de Negocios Jr. Transformar datos en información estratégica para apoyar la toma de decisiones del negocio, mediante el desarrollo de modelos de datos, tableros de control, reportes ejecutivos y análisis de indicadores clave (KPIs), asegurando la disponibilidad de información confiable, oportuna y de valor para las diferentes áreas de la organización. Responsabilidades Principales Analizar información proveniente de diversas fuentes para identificar tendencias, oportunidades y riesgos del negocio. Diseñar, desarrollar y mantener dashboards ejecutivos y operativos. Diseñar modelos de datos que soporten el análisis de información. Definir y dar seguimiento a indicadores de desempeño (KPIs). Validar la calidad e integridad de la información. Colaborar con las áreas de negocio para entender sus necesidades de información. Conocimientos Técnicos Bases de Datos SQL Herramientas Microsoft Power BI Excel Avanzado Tableau (deseable) Lenguajes (Deseable) Python Escolaridad Inteligencia de Negocios Experiencia Recién egresados de la carrera (Preferentemente ITESM) Competencias Pensamiento analítico. Orientación a resultados. Resolución de problemas. Atención al detalle. Comunicación efectiva.",https://mx.linkedin.com/jobs/view/inteligencia-de-negocios-jr-at-infinita-consulting-4432955285,4432955285,,,,,,,,,
Calculation Engine Developer,Carrier,"Monterrey, Nuevo León, Mexico",ON-SITE,,Full-time,Wholesale Building Materials,2026-06-26T13:14:07.656431,25,Engineering,Information Technology,,"About Carrier Carrier Global Corporation, global leader in intelligent climate and energy solutions, is committed to creating innovations that bring comfort, safety and sustainability to life. Through cutting-edge advancementsin climate solutions such astemperature control, air quality and transportation, we improve lives, empower critical industries and ensure the safe transport of food, life-saving medicines and more. Since inventing modern air conditioning in 1902, we lead with purpose: enhancing the lives we live and the world we share. We continue to lead because of our world-class, inclusive workforce that puts the customer at the center of everything we do. For more information, visitcorporate.carrier.com (opens in new window)or follow Carrier on social media at @Carrier. About The Role The Calculation Engine Developer will develop, coordinate and conduct complex tests and debugs control and diagnostic systems, makes recommendations on changes in the selection and application of software production components to management, implements major components, presents designs review, and coordinates with other organizations. Carrier is seeking a passionate and experienced Calculation Engine Developer to join our Modeling and Simulation team. This role is critical to the development and deployment of best‑in‑class calculation platforms that support Carrier’s commercial HVAC equipment portfolio. In this position, you will apply advanced thermodynamics, heat transfer, and numerical methods to the development of robust, scalable calculation engines that enable optimized product selection and superior customer solutions. You will collaborate closely with marketing, product engineering, and global stakeholders to translate customer and business needs into high‑performance engineering models. Key Responsibilities As a Calculation Engine Developer , you'll be responsible for: Design, develop, and maintain state‑of‑the‑art calculation engines that support Carrier’s commercial HVAC product offerings and sales tools. Apply expertise in heat transfer, thermodynamics, and numerical methods to develop accurate and reliable engineering algorithms. Collaborate with optimization engineers to develop advanced algorithms that enable optimal system selection and performance predictions. Work cross‑functionally with marketing, product engineering, and global teams to understand customer requirements and translate them into technical solutions. Support the integration and deployment of calculation engines into Carrier’s modeling and configuration platforms. Ensure model accuracy, robustness, scalability, and maintainability through validation, testing, and continuous improvement. Drive resolution of complex technical challenges related to numerical stability, convergence, model accuracy, and computational performance Define and enforce best practices for calculation engine development, including numerical methods, data structures, and integration patterns Requirements We are looking for people who are with deep knowledge and highly developed technical expertise. If this is you, get in touch. As a Minimum You Must Have Master’s degree or PhD in Thermal Engineering, Refrigeration and Air‑Conditioning, Fluid Machinery, or a related engineering discipline. Minimum of 2+ years of relevant engineering experience with a Master’s degree (or equivalent experience with a PhD). Strong foundational knowledge of: Heat transfer Thermodynamics Numerical analysis Nonlinear algebraic and differential equation systems Hands‑on programming experience in one or more of the following: Python, Modelica, C++ or related programming languages. Engineering experience in design, analysis, or application of HVAC/R or power plant equipment. Strong verbal and written communication skills. Proven ability to collaborate effectively across functions and global teams. Ability to work independently while thriving in a collaborative team environment. Although not necessary, it would be nice if you have: Experience developing and maintaining software across multiple programming languages. Experience leading or mentoring technical teams or delivering engineering tools/models to meet stakeholder requirements. Familiarity with optimization techniques, simulation platforms, or product configuration systems. Benefits We offer a competitive total rewards package that may include other benefits and well‑being programs. Offerings vary by role and location and are designed to support employees’ health, security, and success. If you require a reasonable accommodation to complete the application process, participate in an interview, or otherwise engage in the hiring process, please contact us at Carrier.Recruiting@carrier.com. (opens in new window) We will make every effort to meet your needs in accordance with applicable laws. Carrier is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class. Job Applicant's Privacy Notice Click on this link (opens in new window) to read the Job Applicant's Privacy Notice",https://mx.linkedin.com/jobs/view/calculation-engine-developer-at-carrier-4430285122,4430285122,,,,,,,,,
