Title,Company,Location,Remote,SeniorityLevel,EmploymentType,Industries,DatePosted,NumApplicants,JobFunction1,JobFunction2,JobFunction3,Description,Url,JobID
AI/ML developer - R01564464,Brillio,"Guadalajara, Jalisco, Mexico",REMOTE,N/A,Full-time,IT Services and IT Consulting,2026-07-04T14:05:49.594267,81,Engineering,Information Technology,N/A,"Senior Software Development Engineer Job requirements We are seeking a highly skilled AI/ML Engineer to design, develop, and deploy cutting-edge artificial intelligence and machine learning solutions, with a strong focus on Retrieval-Augmented Generation (RAG) systems. The ideal candidate will have hands-on experience building scalable pipelines for unstructured data, optimizing semantic retrieval, and working with modern large language models (LLMs). This role requires collaboration with cross-functional teams to deliver high-impact, production-ready AI solutions. Key Responsibilities: Design, develop, and deploy advanced AI/ML and RAG-based solutions. Build and maintain custom RAG systems leveraging internal data sources. Develop robust data pipelines for processing and managing unstructured content. Optimize semantic search and retrieval performance using embeddings and vector databases. Evaluate model performance using key quality metrics and continuously improve system accuracy. Collaborate with cross-functional teams to design and deploy agentic RAG solutions. Work with leading large language models (LLMs) and conduct experiments to enhance performance. Stay up to date with the latest advancements in AI/ML, NLP, and generative AI technologies. Develop and maintain RESTful APIs for AI services. Required Technical Skills: Programming: Strong proficiency in Python, including libraries such as NumPy and Pandas; solid SQL skills. Frameworks & Libraries: FastAPI, Uvicorn (ASGI Server), Pydantic, Pydantic-Settings, LangChain, Hugging Face Transformers. Machine Learning/NLP: Deep Learning, Natural Language Processing (NLP), text embeddings, semantic search, and model evaluation techniques. Vector Databases: Experience with pgVector. Testing: Experience with pytest (v8.4.1 or similar). Deployment & DevOps: Docker, OpenShift, Jenkins (CI/CD pipelines). Tools & Practices: Git, RESTful API development, and version control best practices. Preferred Qualifications: Experience working with agentic AI systems or autonomous workflows. Familiarity with scalable architecture for AI systems in production. Strong problem-solving skills and ability to work in a collaborative environment. Soft Skills: Strong communication and teamwork skills. Ability to manage multiple priorities in a fast-paced environment.",https://mx.linkedin.com/jobs/view/ai-ml-developer-r01564464-at-brillio-4406421363,4406421363
Data Engineer,Insulet Corporation,"Guadalajara, Mexico Metropolitan Area",REMOTE,Mid-Senior level,Full-time,Medical Equipment Manufacturing,2026-07-04T14:05:49.594272,25,Information Technology,"Project Management,",Engineering,"Position Overview The Analytics Engineer serves as a core data and systems partner supporting the Project Management Excellence (PME) team. This role ensures data accuracy, enables automation, and delivers reporting visibility across a 300+ project portfolio supporting new tool qualifications. The current operating environment leverages Smartsheet as the system of record for project management and Power BI for dashboarding and leadership reporting, requiring strong expertise across both platforms. Key Responsibilities · Build and support Power Platform solutions (Power Automate, Power Apps) · Apply workflow, automation, and data modeling concepts to improve processes · Integrate data from SAP, Databricks, and internal systems · Support manufacturing/tooling data and process qualification tracking · Develop and maintain Power BI and Smartsheet dashboards · Ensure data accuracy, validation, and governance · Track and report on 300+ projects (status, milestones, risks, dependencies) · Create and maintain SOPs and documentation · Support PME tools (e.g., Compass) with data updates and enhancements · Define and maintain KPIs and reporting standards · Identify automation and process improvement opportunities · Provide ad hoc analysis and reporting support Minimum Qualifications · Bachelor’s degree in Engineering, Data Analytics, Information Systems, or related field · 3–6 years of experience in data analysis, reporting, or systems support · Experience with Data Visualization via PowerBI (dashboards, data models) · Experience working with multiple data systems and tools · Strong attention to detail and data accuracy · Ability to communicate with technical and non-technical stakeholders Preferred Qualifications · Experience supporting PMO / PME / portfolio management organizations · Familiarity with project management tools and methodologies · Experience improving reporting processes, data workflows, or tool adoption · Comfort operating independently while partnering closely with leadership",https://mx.linkedin.com/jobs/view/data-engineer-at-insulet-corporation-4436753531,4436753531
Dataiku Administrator,Wipro,"Guadalajara, Jalisco, Mexico",REMOTE,N/A,Full-time,IT Services and IT Consulting,2026-07-04T14:05:49.594274,25,Information Technology,N/A,N/A,"Job Description Job Description About The Role Are you passionate about transforming data into meaningful business insights? We're looking for a Dataiku Analyst / Data Analytics Consultant to join our growing analytics team. In this role, you'll play a key part in turning complex data into clear, actionable insights that drive strategic decisions across the organization. You'll work hands-on with modern analytics platforms like Dataiku , Snowflake , SQL , and Power BI , collaborating with business stakeholders, data stewards, and cross-functional teams to deliver high-impact analytical solutions in a dynamic and collaborative environment. ͏ What You'll Do Partner with cross-functional teams to understand business challenges, translate them into analytical questions, and define measurable success metrics. Organize, structure, and transform data to support reporting, analysis, and decision-making. Perform data analysis, cleansing, enrichment, and advanced calculations using Dataiku. Design and build interactive dashboards, reports, and ad hoc analyses using Power BI. Identify trends, anomalies, and opportunities within datasets to inform strategic direction. Conduct data profiling and ensure data quality, accuracy, completeness, and reliability. Collaborate with data stewards to apply consistent data definitions, standards, and governance practices. Document datasets, business rules, KPIs, and analytical processes to promote transparency and reuse. Adopt and promote standardized datasets, tools, and visualization practices from the Analytics Center of Excellence (CoE). Actively participate in domain working groups and Communities of Practice to share knowledge and drive analytical maturity. ͏ What You'll Bring Bachelor's degree in Computer Science, Information Systems, Statistics, Mathematics, Engineering, or a related field. 4–5 years of experience in data analysis, business intelligence, or analytics consulting. Advanced SQL skills, including complex joins, aggregations, window functions, and query optimization. Hands-on experience with Power BI (dashboard development, DAX, reporting). Experience working with large, complex datasets. Strong critical thinking, problem-solving, and data storytelling abilities. Excellent communication skills and the ability to engage effectively with business stakeholders. Nice to Have Experience with Dataiku for data preparation, transformation, and modeling. Hands-on experience with Snowflake as a cloud data platform. Understanding of data governance concepts (data lineage, stewardship, quality frameworks). Exposure to Agile methodologies and experience in federated analytics environments. Familiarity with Python or R for advanced analytics. Exposure to cloud platforms such as Azure, AWS, or GCP. Certifications in Dataiku, Snowflake, or Power BI. ͏ Why Join Us Be part of a collaborative, innovation-driven analytics team. Work with cutting-edge data and analytics technologies. Grow your career through continuous learning, mentorship, and global exposure. Make a real impact by turning data into decisions that shape business strategy. Ready to build the future of analytics with us? Apply today and let's create data-driven impact together. 🚀 Mandatory Skills: AI Dataiku . Experience: 5-8 Years Reinvent your world. We are building a modern Wipro. We are an end-to-end digital transformation partner with the boldest ambitions. To realize them, we need people inspired by reinvention. Of yourself, your career, and your skills. We want to see the constant evolution of our business and our industry. It has always been in our DNA - as the world around us changes, so do we. Join a business powered by purpose and a place that empowers you to design your own reinvention.",https://mx.linkedin.com/jobs/view/dataiku-administrator-at-wipro-4435485191,4435485191
Software Engineer Backend,Stand8 Technology Consulting,"Guadalajara, Jalisco, Mexico",HYBRID,Mid-Senior level,Full-time,"Technology, Information and Media",2026-07-04T14:05:52.193552,25,Information Technology,N/A,N/A,"STAND 8 provides end-to-end IT solutions and staffing services to enterprise partners across North America, with operational presence in Mexico supporting a wide range of technology, engineering, and business roles. This role is responsible for leading the design and implementation of major features and services within the Platform Catalog ecosystem. The position drives architecture decisions, builds scalable backend services, and supports real-time data pipelines that power advertising platforms. This individual partners closely with product managers and stakeholders to turn business goals into technical outcomes while promoting reliability, performance, and observability. The role also provides technical leadership through mentoring, team coordination, and production support participation. We are headquartered in Zapopan, Jalisco, and this hybrid role is based in Andares; however, we are open to interviewing qualified candidates located anywhere in Mexico. Location & Work Type Location: Zapopan, Jalisco Work Type: Hybrid Key Responsibilities Lead the design and implementation of major features or services within the Platform Catalog ecosystem. Drive architectural discussions and propose scalable solutions aligned with engineering best practices. Mentor junior engineers and contribute to a culture of technical excellence. Partner with product managers and stakeholders to translate business goals into technical outcomes. Advocate for system reliability, performance, and observability across multiple integrations. Design APIs to consume and produce data and build backend applications to power advertising platforms using Java, REST/GraphQL APIs, Docker, and Kubernetes. Use Kafka, Aerospike, and Elasticsearch to support a real-time data pipeline for the broader advertising team. Build and support highly available, large-scale distributed systems using microservices architecture. Participate in and help manage on-call and production support rotations to troubleshoot issues during off-hours and promotional events. Coordinate with team members to assign tasks, set goals, monitor progress, and resolve technical issues. Provide technical mentoring and guidance that fosters continuous learning and improvement. Qualifications : 6-8 years of software engineering experience with a track record of delivering production-grade systems. Deep expertise in software architecture, distributed systems, and API design. Proficiency in Java, with strong debugging and optimization skills. Experience operating in cloud-native environments (preferably GCP). Ability to influence design decisions and collaborate effectively with cross-functional teams. Strong communication skills in English / Spanish / both depending on project needs. Preferred (Optional): Experience with REST/GraphQL APIs, Docker, Kubernetes, Kafka, Aerospike, and Elasticsearch. Experience with microservices architecture for highly available, large-scale distributed systems. Experience participating in on-call and production support rotations. Experience with tools, technologies, or methodologies related to observability, system reliability, and platform engineering. About Us STAND 8 provides end-to-end IT solutions to enterprise partners across the United States and globally with offices in Los Angeles, Atlanta, New York, Mexico, Japan, India, and more. STAND 8 focuses on the ""bleeding edge"" of technology and leverages automation, process, marketing, and over fifteen years of success and growth to provide a world-class experience for our customers, partners, and employees. Our mission is to impact the world positively by creating success through PEOPLE, PROCESS, and TECHNOLOGY. Check out more at www.stand8.io; and reach out today to explore opportunities to grow together! By applying to this position, your data will be processed in accordance with the STAND 8 Privacy Policy.",https://mx.linkedin.com/jobs/view/software-engineer-backend-at-stand8-technology-consulting-4429947833,4429947833
Data Test Engineer,Cognizant,"Guadalajara, Mexico Metropolitan Area",HYBRID,N/A,Full-time,IT Services and IT Consulting and Business Consulting and Services,2026-07-04T14:05:52.193559,26,Engineering,Information Technology,N/A,"At Cognizant we have an ideal opportunity for you to be part of one of the largest companies in the digital sector worldwide. A Great Place To Work where we look for people who contribute new ideas, experiencing a dynamic and growing environment. At Cognizant we promote an inclusive culture, where we value different perspectives providing career growth and development opportunities. #WelcomeToCognizant! This role will perform end-to-end ETL validation across Source → Staging → Target layers to ensure data consistency and completeness Qualifications Develop and execute advanced SQL queries for validation: Complex joins (multi-table) Aggregations and window functions Subqueries, CTEs Experience with performing BigQuery/GCP-specific validation ETL Testing in Cloud Environment Experience with Reporting & BI Validation ADVANCED ENGLISH IS A MUST Hybrid role in Guadalajara. Why Cognizant? Improve your career in one of the largest and fastest growing IT services providers worldwide Receive ongoing support and funding with training and development plans Have a highly competitive benefits and salary package Get the opportunity to work for leading global companies We are committed to respecting human rights and build a better future by helping your minds and the environment We invest in people and their wellbeing. We create conditions for everyone to thrive. We do not discriminate based on race, religion, color, sex, age, disability, nationality, sexual orientation, gender identity or expression, or for any other reason covered. At Cognizant we believe than our culture make us stronger! Join us now!",https://mx.linkedin.com/jobs/view/data-test-engineer-at-cognizant-4416741885,4416741885
TL Java FullStack (AWS),Softtek,"Guadalajara, Jalisco, Mexico",HYBRID,N/A,Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Media",2026-07-04T14:05:52.193561,25,Information Technology,N/A,N/A,"About the Company. Founded in 1982, Softtek is a global provider of process-driven IT solutions with 30 offices in North America, Latin America, Europe and Asia. With 15 Global Delivery Centers in the U.S., Mexico, China, Brazil, Argentina, Costa Rica, Spain, Hungary and India. Softtek helps improve and produce predictable outcomes for toptier corporations in over 20 countries. Softtek is the creator and a leader of the nearshore industry. For more information on what we do, who we are, and career opportunities, visit www.softtek.com. About the Role. TL Java Full stack Sr (AWS) Requirements: Must have 8+ years of software engineering experience. 3+ years in a technical leadership role such as Technical Lead, Lead Engineer. Strong experience designing and delivering enterprise-scale software solutions. Deep understanding of software architecture, design patterns, and distributed systems. Experience with cloud platforms such as Amazon Web Services, Microsoft Azure, or Google Cloud Platform. Experience building and integrating RESTful APIs and event-driven architectures. Strong understanding of CI/CD, DevOps practices, and automated testing strategies. Excellent communication, leadership, and stakeholder management skills. Expertise with modern frontend and backend technologies such as: React Js, Java, Sprintboot, Microservices/APIs, CI/CD, Cloud AWS, Github Experience in Agile and SAFe environments. Key Leadership Competencies. Technical Vision and Strategic Thinking Influencing Without Authority Mentorship and Coaching Decision-Making Under Ambiguity Stakeholder Management Problem Solving and Critical Thinking Continuous Improvement Mindset Ownership and Accountability Responsibilities. We are seeking an experienced Technical Leader to provide technical direction, architectural guidance, and engineering leadership across multiple software development initiatives. Responsible for driving technical excellence, mentoring engineering teams, and ensuring that technology solutions align with business objectives, scalability requirements, and industry best practices. Hands-on technical expert with strong leadership skills, capable of guiding teams through complex technical challenges while fostering a culture of collaboration, innovation, and continuous improvement. Language Required. English Level Advanced 80-95% Location. Mexico. Softtek’s attractive healthcare; benefits package. 5 Insurance benefits with full coverage: Major Medical Insurance, with UNLIMITED coverage guarantee, Minor Medical Expenses, for you and your family, Urgent Care Insurance, Life Insurance and Permanent Disability Support, Funeral Service Insurance. Christmas bonus: 25 days. Maternity Leave (12 weeks +2 weeks more than standard). Paternity Leave (10 days). Grocery Vouchers. Saving Funds. Personal Loans with interest rate lower than the bank. Car insurance, for you and your family, 50% lower cost than market price. Softtek Contigo Program: Exclusive membership with multiple benefits: nutrition, legal, medical, and psychological assistance, discounts in health, entertainment, education, etc.; home assistance services; pet veterinary assistance, anti-rabies vaccine, pet funeral; and much more. Wellness & Wellbeing: Wellness Hub: nutrition, physical and emotional support. Make a difference with our social missions. Softtek Community: Diverse, inclusive and fun. At Softtek, we recognize that talent is diverse, we respect each person's life condition, and we promote equity in treatment and opportunities without discrimination.",https://mx.linkedin.com/jobs/view/tl-java-fullstack-aws-at-softtek-4435703240,4435703240
Middleware Developer,IBM,"Guadalajara, Jalisco, Mexico",HYBRID,Entry level,Full-time,IT Services and IT Consulting,2026-07-04T14:05:52.193563,32,Engineering,Information Technology,N/A,"Introduction At IBM Infrastructure & Technology, we design and operate the systems that keep the world running. From high-resiliency mainframes and hybrid cloud platforms to networking, automation, and site reliability. Our teams ensure the performance, security, and scalability that clients and industries depend on every day. Working in Infrastructure & Technology means tackling complex challenges with curiosity and collaboration. You’ll work with diverse technologies and colleagues worldwide to deliver resilient, future-ready solutions that power innovation. With continuous learning, career growth, and a supportive culture, IBM provides the opportunities to build expertise and shape the infrastructure that drives progress. Your Role And Responsibilities As a Back-End Developer specializing in Middleware, you will work in an agile, collaborative environment across software architecture, understanding both front-end and back-end concerns. You will develop and implement solutions using various programming languages and technologies, focusing on the back-end. Your primary responsibilities will include: Develop RESTful APIs and Web Services: Design and implement RESTful APIs and web services to meet system requirements, ensuring seamless integration with front-end applications. Plan and Construct Databases: Analyze, design, and construct databases, implementing industry standards and best practices for database security and defining database and information security requirements. Implement Database Queries: Develop structured query language (SQL) queries, back-end database stored procedures, or NoSQL queries to support application development. Integrate Middleware Software: Integrate middleware software packages, programs, and reusable objects residing on multiple platforms, ensuring smooth operation and data exchange. Collaborate on Solution Delivery: Work collaboratively with cross-functional teams to deliver solutions, understanding both front-end and back-end concerns and ensuring alignment with client needs. Preferred Education Bachelor's Degree Required Technical And Professional Expertise Knowledge with programing skills in C Experience on Linux CLI Medium to high written and oral English Good at data structure and algorithms Important to have (complex) problem solving skills Good communication and team player Preferred Technical And Professional Experience Familiarity with Cloud Platforms: Exposure to cloud-based infrastructure and platforms, such as AWS or Azure, would be beneficial for integrating middleware software and scalable database solutions Desirable to have networking and basic HW skills Knowledge with programing skills in Python",https://mx.linkedin.com/jobs/view/middleware-developer-at-ibm-4421192239,4421192239
Tag Management,IBM,"Guadalajara, Jalisco, Mexico",HYBRID,Mid-Senior level,Full-time,IT Services and IT Consulting,2026-07-04T14:05:52.193565,26,Other,N/A,N/A,"Introduction A career in IBM Consulting is built on long-term client relationships and close collaboration worldwide. You’ll work with leading companies across industries, helping them shape their hybrid cloud and AI journeys. With support from our strategic partners, robust IBM technology, and Red Hat, you’ll have the tools to drive meaningful change and accelerate client impact. At IBM Consulting, curiosity fuels success. You’ll be encouraged to challenge the norm, explore new ideas, and create innovative solutions that deliver real results. Our culture of growth and empathy focuses on your long-term career development while valuing your unique skills and experiences. Your Role And Responsibilities An Application Developer specializing in Adobe Analytics, Target, Launch. Google Tag Manager and Analytics, and is responsible for designing, developing, and implementing analytics solutions using the Analytics platform. This role requires a deep understanding of Analytics capabilities, including data collection, segmentation, personalization and reporting, and analysis to provide actionable insights. The developer works closely with stakeholders to gather business requirements and translate them into technical specifications for analytics implementations. Good to have Tealium, skills. Needs to have deep Java script and J Query skills Preferred Education Bachelor's Degree Required Technical And Professional Expertise Proficiency in HTML, JavaScript, and CSS: These are fundamental for understanding how tags, web pages, and user interactions work. They're crucial for customizing tag configurations, troubleshooting, and ensuring optimal performance. Knowledge of Digital Analytics and Tagging Standards: Understanding the different digital marketing and analytics tools like Google Analytics, Adobe Analytics, and others, and knowing how to correctly implement tracking codes is essential. Familiarity with industry standards such as IAB (Interactive Advertising Bureau) guidelines is also important. Experience with the Specific Tools - Adobe Launch and Tealium: Each tool has its own nuances and best practices. A professional should be well-versed in the interfaces, functionalities, and workflows of both Adobe Launch and Tealium. This includes understanding how to set up libraries, create rules, manage extensions or modules, and troubleshoot issues specific to these platforms. Preferred Technical And Professional Experience Familiarity with Server-Side Tagging: This can facilitate more complex tracking scenarios and aid in maintaining data privacy compliance. Experience with Data Layer Implementation: This skill ensures a structured method of passing data from your website to tags, enhancing the functionality of tag management systems. Knowledge of CI/CD (Continuous Integration/Continuous Deployment): This can optimize the deployment process, ensuring tags are updated efficiently and accurately.",https://mx.linkedin.com/jobs/view/tag-management-at-ibm-4414058730,4414058730
Ingeniero en desarrollo de firmware,Venteks,"Guadalajara, Jalisco, Mexico",ON-SITE,Entry level,Full-time,Consumer Electronics,2026-07-04T14:05:53.763214,25,Engineering,Information Technology,N/A,"Venteks es mucho más que una empresa de diseño electrónico y desarrollo de software. Nos dedicamos a crear soluciones innovadoras en sistemas embebidos , hardware, firmware , software y plataformas web. Aquí, el ambiente laboral es clave: nos divertimos , colaboramos y nos impulsamos mutuamente a ser mejores, mientras enfrentamos proyectos desafiantes que nos mantienen en constante crecimiento. Estamos ubicados en La colonia Chapalita, en Zapopan. Buscamos un desarrollador de firmware (sistemas embebidos) para unirse a nuestro equipo en Guadalajara. Valoramos a personas proactivas , curiosas y con ganas de resolver problemas técnicos interesantes. Aquí vas a enfrentar retos reales, trabajar con tecnología de vanguardia y tener espacio para desarrollarte profesionalmente, dentro de un ambiente colaborativo . Serás responsable de desarrollar aplicaciones y drivers para microcontroladores , trabajando con soluciones embebidas y tecnologías de vanguardia . Este es un espacio donde innovarás cada día. ¿Tienes lo siguiente? - Pasión por la electrónica , los microcontroladores y los sistemas embebidos - Licenciatura en Ingeniería Electrónica, Sistemas Electrónicos, Mecatrónica, o afín - Al menos 3 años de experiencia sólida en programación en C para microcontroladores - Conocimiento de diseño de circuitos eléctricos y esquemáticos - Manejo de osciloscopio , multímetro , analizador de señales - Conocimiento de protocolos de comunicación USB, TCP/IP, RS232, SPI, I2C - Experiencia con microcontroladores ARM y RTOS (deseable) - Gusto por aprender nuevas tecnologías y lenguajes de alto nivel - Capacidad para trabajar en equipo , colaborar y generar nuevas ideas - Habilidades excepcionales de resolución de problemas y pensamiento analítico - Experiencia debuggeando firmware con herramientas como J-Link, STM32CubeIDE live expression, breakpoints y logs.",https://mx.linkedin.com/jobs/view/ingeniero-en-desarrollo-de-firmware-at-venteks-4435708512,4435708512
ITOM Developer - CMDB and Discovery,Infosys,"Guadalajara, Jalisco, Mexico",ON-SITE,N/A,Full-time,IT Services and IT Consulting,2026-07-04T14:05:53.763220,25,Engineering,Information Technology,N/A,"Job Title: ServiceNow ITOM – CMDB and Discovery Developer Experience Level 5+ years of strong experience and proven specialization in ServiceNow ITOM implementation Strong Hands on – CMDB and Discovery - Major Strong knowledge of ITIL processes and best practices Preferred Certifications ServiceNow CSA, ITOM – Discovery, Data Foundations CMDB & CSDM Job Description Design and implement ServiceNow ITOM Discovery and CMDB solutions to meet client requirements. Configure and manage Discovery (MID Servers, schedules, credential management, patterns) and ensure reliable CI population. Establish and maintain CMDB governance and data quality, including CI class modeling, relationships, lifecycle, and data standards. Configure Identification and Reconciliation (IRE), including identification rules and reconciliation behavior across data sources. Should have implemented CMDB Workspace, CMDB Health Dashboards, CI Class Manager, Data Manager, CSDM Awareness and related tools to monitor and improve CMDB quality. Implement data loads and migrations using Import Sets, Transform Maps, Data Sources, and Data Manager. Build/maintain integrations using REST/SOAP APIs (inbound and outbound) to support CI data ingestion and synchronization. Perform troubleshooting and root-cause analysis for Discovery/CMDB issues (E.g., MID Server connectivity, ECC queue, pattern failures, duplicates). Support testing activities: unit testing, regression testing, UAT support, and production deployment. Collaborate with cross-functional teams (network/security/app owners) to enable discovery and integration. H ands on experience in building integrations using REST / SOAP API, OKTA / SSO Design and implement ITOM processes and workflows to meet client requirements. Client-side and server-side JavaScript scripting (Client Scripts, Script Includes, Business Rules) Provide training and support to end-users and stakeholders. Soft Skills Excellent Analytical and troubleshooting skill. Excellent in Verbal, written communication. Creative thinking in implementing Service improvements (automation, incident reduction, etc.). Willingness and flexibility to learn new technologies, scale up quickly and adapt to different roles as the situation demands. Practical experience with agile methodologies/tools Cross functional Knowledge on matters that require coordination across organization and collaborates well with other groups, voluntarily shares information. About Us Infosys is a global leader in next-generation digital services and consulting. We enable clients in more than 50 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem. EEO Infosys provides equal employment opportunities to applicants and employees without regard to race; color; sex; gender identity; sexual orientation; religious practices and observances; national origin; pregnancy, childbirth, or related medical conditions; status as a protected veteran or spouse/family member of a protected veteran; or disability.",https://mx.linkedin.com/jobs/view/itom-developer-cmdb-and-discovery-at-infosys-4417110338,4417110338
